taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	references	taxonRemarks
Actinomycetales	Actinomycetales	Actinomycetia	Actinomycetales	order	https://gtdb.ecogenomic.org/tree?r=o__Actinomycetales	
Bifidobacteriales	Actinomycetales		Bifidobacteriales	order		
Enterobacterales	Enterobacterales	Gammaproteobacteria	Enterobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Enterobacterales	
Alteromonadales	Enterobacterales		Alteromonadales	order		
PCC-6307	PCC-6307	Cyanobacteriia	PCC-6307	order	https://gtdb.ecogenomic.org/tree?r=o__PCC-6307	
Synechococcales	PCC-6307		Synechococcales	order		
Pseudomonadales	Pseudomonadales	Gammaproteobacteria	Pseudomonadales	order	https://gtdb.ecogenomic.org/tree?r=o__Pseudomonadales	
Oceanospirillales	Pseudomonadales		Oceanospirillales	order		
Enterobacterales	Enterobacterales	Gammaproteobacteria	Enterobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Enterobacterales	
Aeromonadales	Enterobacterales		Aeromonadales	order		
Burkholderiales	Burkholderiales	Gammaproteobacteria	Burkholderiales	order	https://gtdb.ecogenomic.org/tree?r=o__Burkholderiales	
Nitrosomonadales	Burkholderiales		Nitrosomonadales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Micromonosporales	Mycobacteriales		Micromonosporales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Pseudonocardiales	Mycobacteriales		Pseudonocardiales	order		
Pseudomonadales	Pseudomonadales	Gammaproteobacteria	Pseudomonadales	order	https://gtdb.ecogenomic.org/tree?r=o__Pseudomonadales	
Cellvibrionales	Pseudomonadales		Cellvibrionales	order		
Cyanobacteriales	Cyanobacteriales	Cyanobacteriia	Cyanobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Cyanobacteriales	
Nostocales	Cyanobacteriales		Nostocales	order		
Cyanobacteriales	Cyanobacteriales	Cyanobacteriia	Cyanobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Cyanobacteriales	
Chroococcales	Cyanobacteriales		Chroococcales	order		
Coriobacteriales	Coriobacteriales	Coriobacteriia	Coriobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Coriobacteriales	
Eggerthellales	Coriobacteriales		Eggerthellales	order		
Deinococcales	Deinococcales	Deinococci	Deinococcales	order	https://gtdb.ecogenomic.org/tree?r=o__Deinococcales	
Thermales	Deinococcales		Thermales	order		
Enterobacterales	Enterobacterales	Gammaproteobacteria	Enterobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Enterobacterales	
Orbales	Enterobacterales		Orbales	order		
Burkholderiales	Burkholderiales	Gammaproteobacteria	Burkholderiales	order	https://gtdb.ecogenomic.org/tree?r=o__Burkholderiales	
Rhodocyclales	Burkholderiales		Rhodocyclales	order		
Cyanobacteriales	Cyanobacteriales	Cyanobacteriia	Cyanobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Cyanobacteriales	
Oscillatoriales	Cyanobacteriales		Oscillatoriales	order		
Bacteroidales	Bacteroidales	Bacteroidia	Bacteroidales	order	https://gtdb.ecogenomic.org/tree?r=o__Bacteroidales	
Marinilabiliales	Bacteroidales		Marinilabiliales	order		
Mycoplasmatales	Mycoplasmatales	Bacilli	Mycoplasmatales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycoplasmatales	
Entomoplasmatales	Mycoplasmatales		Entomoplasmatales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Geodermatophilales	Mycobacteriales		Geodermatophilales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Frankiales	Mycobacteriales		Frankiales	order		
Chitinophagales	Chitinophagales	Bacteroidia	Chitinophagales	order	https://gtdb.ecogenomic.org/tree?r=o__Chitinophagales	
Saprospirales	Chitinophagales		Saprospirales	order		
Rhodothermales	Rhodothermales	Rhodothermia	Rhodothermales	order	https://gtdb.ecogenomic.org/tree?r=o__Rhodothermales	
Bacteroidetes_Order_II._Incertae_sedis	Rhodothermales		Bacteroidetes Order II. Incertae sedis	order		
Burkholderiales	Burkholderiales	Gammaproteobacteria	Burkholderiales	order	https://gtdb.ecogenomic.org/tree?r=o__Burkholderiales	
Hydrogenophilales	Burkholderiales		Hydrogenophilales	order		
Petrotogales	Petrotogales	Thermotogae	Petrotogales	order	https://gtdb.ecogenomic.org/tree?r=o__Petrotogales	
Kosmotogales	Petrotogales		Kosmotogales	order		
Gastranaerophilales	Gastranaerophilales	Vampirovibrionia	Gastranaerophilales	order	https://gtdb.ecogenomic.org/tree?r=o__Gastranaerophilales	
Candidatus_Gastranaerophilales	Gastranaerophilales		Candidatus Gastranaerophilales	order		
Brocadiales	Brocadiales	Brocadiae	Brocadiales	order	https://gtdb.ecogenomic.org/tree?r=o__Brocadiales	
Candidatus_Brocadiales	Brocadiales		Candidatus Brocadiales	order		
Fimbriimonadales	Fimbriimonadales	Fimbriimonadia	Fimbriimonadales	order	https://gtdb.ecogenomic.org/tree?r=o__Fimbriimonadales	
Chthonomonadales	Fimbriimonadales		Chthonomonadales	order		
Opitutales	Opitutales	Verrucomicrobiae	Opitutales	order	https://gtdb.ecogenomic.org/tree?r=o__Opitutales	
Puniceicoccales	Opitutales		Puniceicoccales	order		
Nanopelagicales	Nanopelagicales	Actinomycetia	Nanopelagicales	order	https://gtdb.ecogenomic.org/tree?r=o__Nanopelagicales	
Candidatus_Nanopelagicales	Nanopelagicales		Candidatus Nanopelagicales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Glycomycetales	Mycobacteriales		Glycomycetales	order		
Nevskiales	Nevskiales	Gammaproteobacteria	Nevskiales	order	https://gtdb.ecogenomic.org/tree?r=o__Nevskiales	
Salinisphaerales	Nevskiales		Salinisphaerales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Actinopolysporales	Mycobacteriales		Actinopolysporales	order		
Sphingomonadales	Sphingomonadales	Alphaproteobacteria	Sphingomonadales	order	https://gtdb.ecogenomic.org/tree?r=o__Sphingomonadales	
Kordiimonadales	Sphingomonadales		Kordiimonadales	order		
Peribacterales	Peribacterales	Gracilibacteria	Peribacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Peribacterales	
Candidatus_Peribacterales	Peribacterales		Candidatus Peribacterales	order		
B4-G1	B4-G1	Anaerolineae	B4-G1	order	https://gtdb.ecogenomic.org/tree?r=o__B4-G1	
Thermoflexales	B4-G1		Thermoflexales	order		
Actinomycetales	Actinomycetales	Actinomycetia	Actinomycetales	order	https://gtdb.ecogenomic.org/tree?r=o__Actinomycetales	
Kineosporiales	Actinomycetales		Kineosporiales	order		
Caulobacterales	Caulobacterales	Alphaproteobacteria	Caulobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Caulobacterales	
Parvularculales	Caulobacterales		Parvularculales	order		
Cyanobacteriales	Cyanobacteriales	Cyanobacteriia	Cyanobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Cyanobacteriales	
Pleurocapsales	Cyanobacteriales		Pleurocapsales	order		
Burkholderiales	Burkholderiales	Gammaproteobacteria	Burkholderiales	order	https://gtdb.ecogenomic.org/tree?r=o__Burkholderiales	
Ferrovales	Burkholderiales		Ferrovales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Nakamurellales	Mycobacteriales		Nakamurellales	order		
Cryosericales	Cryosericales	Caldisericia	Cryosericales	order	https://gtdb.ecogenomic.org/tree?r=o__Cryosericales	
Candidatus_Cryosericales	Cryosericales		Candidatus Cryosericales	order		
Cyanobacteriales	Cyanobacteriales	Cyanobacteriia	Cyanobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Cyanobacteriales	
Chroococcidiopsidales	Cyanobacteriales		Chroococcidiopsidales	order		
Chloroflexales	Chloroflexales	Chloroflexia	Chloroflexales	order	https://gtdb.ecogenomic.org/tree?r=o__Chloroflexales	
Herpetosiphonales	Chloroflexales		Herpetosiphonales	order		
Thermomicrobiales	Thermomicrobiales	Chloroflexia	Thermomicrobiales	order	https://gtdb.ecogenomic.org/tree?r=o__Thermomicrobiales	
Sphaerobacterales	Thermomicrobiales		Sphaerobacterales	order		
Sphingomonadales	Sphingomonadales	Alphaproteobacteria	Sphingomonadales	order	https://gtdb.ecogenomic.org/tree?r=o__Sphingomonadales	
Emcibacterales	Sphingomonadales		Emcibacterales	order		
Streptomycetales	Streptomycetales	Actinomycetia	Streptomycetales	order	https://gtdb.ecogenomic.org/tree?r=o__Streptomycetales	
Catenulisporales	Streptomycetales		Catenulisporales	order		
Ktedonobacterales	Ktedonobacterales	Ktedonobacteria	Ktedonobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Ktedonobacterales	
Thermogemmatisporales	Ktedonobacterales		Thermogemmatisporales	order		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Cryptosporangiales	Mycobacteriales		Cryptosporangiales	order		
Fermentibacterales	Fermentibacterales	Fermentibacteria	Fermentibacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Fermentibacterales	
Candidatus_Fermentibacterales	Fermentibacterales		Candidatus Fermentibacterales	order		
Euzebyales	Euzebyales	Actinomycetia	Euzebyales	order	https://gtdb.ecogenomic.org/tree?r=o__Euzebyales	
Egibacterales	Euzebyales		Egibacterales	order		
Acidulodesulfobacterales	Acidulodesulfobacterales	SZUA-79	Acidulodesulfobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Acidulodesulfobacterales	
Candidatus_Acidulodesulfobacterales	Acidulodesulfobacterales		Candidatus Acidulodesulfobacterales	order		
Babeliales	Babeliales	Babeliae	Babeliales	order	https://gtdb.ecogenomic.org/tree?r=o__Babeliales	
Candidatus_Babeliales	Babeliales		Candidatus Babeliales	order		
Cyanobacteriales	Cyanobacteriales	Cyanobacteriia	Cyanobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Cyanobacteriales	
Spirulinales	Cyanobacteriales		Spirulinales	order		
Chitinivibrionales	Chitinivibrionales	Chitinivibrionia	Chitinivibrionales	order	https://gtdb.ecogenomic.org/tree?r=o__Chitinivibrionales	
